id,make,model,year,mileage,listing_price,url
158,Rolls-Royce,Phantom EWB,2022,2885,699996,https://www.cars.com/vehicledetail/1e4c86bf-393e-41bf-85ce-eaf2bb3912e0/
159,Lamborghini,Urus MANSORY PKG,2021,1500,699995,https://www.cars.com/vehicledetail/6562689b-15da-486f-aa84-27cbfdd70cf5/
160,Ferrari,SF90 Stradale Base,2023,80,699995,https://www.cars.com/vehicledetail/cdc5d247-e76b-4f7e-9378-6e1d8e1fa3bf/
161,Ferrari,550 Maranello,2001,2003,699991,https://www.cars.com/vehicledetail/5460f995-9ba0-4c42-b86c-ea671e53c470/
162,Ferrari,SF90 Stradale Coupe,2021,508,699990,https://www.cars.com/vehicledetail/ea99d6dd-ba1d-48c8-90ac-e4619da1580e/
163,Lamborghini,Countach,1989,155,699990,https://www.cars.com/vehicledetail/ff5286f5-4e58-48bf-9ac4-375d98ab4ab4/
164,Ferrari,SF90 Stradale Base,2023,295,699988,https://www.cars.com/vehicledetail/de123675-620e-48b2-9cf6-e89f26e027b0/
165,Ferrari,SF90 Stradale Base,2022,3036,699988,https://www.cars.com/vehicledetail/f46b60ac-4874-4383-922a-1b1c060e02c4/
166,Aston Martin,Vanquish Zagato Shooting Brake,2019,1935,699900,https://www.cars.com/vehicledetail/134bdcf6-3de2-41ab-80ff-57a62ac80d1b/
167,Ferrari,SF90 Stradale Base,2022,349,699900,https://www.cars.com/vehicledetail/f6c865e3-67b7-4c91-b921-5220e9501617/
168,Ferrari,SF90 Stradale Base,2021,1401,699900,https://www.cars.com/vehicledetail/1cf81fb7-b550-4bdf-ad9f-584f54ca80d8/
169,Ferrari,SF90 Stradale Base,2022,375,699895,https://www.cars.com/vehicledetail/17d7def9-ecf7-41b8-9ff1-3cade7e0861d/
170,Mercedes-Benz,AMG G 63 4x4 Squared,2023,30,699500,https://www.cars.com/vehicledetail/91eb640a-357e-4130-a0c6-90acb25f7aa6/
171,Ferrari,SF90 Stradale Base,2021,4491,699000,https://www.cars.com/vehicledetail/72935e8d-88a6-4784-94fa-40bfeecc2d73/
172,Ferrari,SF90 Stradale Coupe,2021,1647,699000,https://www.cars.com/vehicledetail/9fd3f4e5-2b09-4274-abd3-0288f7f09801/
173,Rolls-Royce,Cullinan,2022,390,699000,https://www.cars.com/vehicledetail/a414e6d2-dd7b-4c4d-9d9b-a300b01a8b45/
174,Ferrari,SF90 Stradale Base,2021,766,699000,https://www.cars.com/vehicledetail/32bf6791-a12c-47ef-9aad-bb3a7510fa33/
175,Lamborghini,Aventador SVJ LP 770-4 SVJ,2019,9610,699000,https://www.cars.com/vehicledetail/500ba852-2dec-4210-92d5-8b23176cabe6/
176,Lamborghini,Aventador LP740-4S,2017,3820,698990,https://www.cars.com/vehicledetail/c201c50c-1601-4aac-9f20-adcb88410082/
177,Ferrari,SF90 Stradale Bianco Cervino,2023,250,697999,https://www.cars.com/vehicledetail/548125ff-d3f4-42f8-9ac1-f888fed5bfa4/
178,Porsche,911 GT3 RS 4.0,2011,4060,695990,https://www.cars.com/vehicledetail/57a91cfd-117e-4dea-a32c-b16d1fea1157/
179,Rolls-Royce,Cullinan,2022,398,695000,https://www.cars.com/vehicledetail/ed4fa9b7-256c-4d69-84d6-039e36e4529e/
180,Ferrari,SF90 Stradale Base,2021,1299,694995,https://www.cars.com/vehicledetail/7982861f-70bf-44ae-bcd1-b74f15b399d0/
181,McLaren,765LT Base,2022,1826,689996,https://www.cars.com/vehicledetail/d9941f5a-8ba6-4e1a-afe7-785d2270109e/
182,Ferrari,SF90 Stradale Base,2022,1102,689900,https://www.cars.com/vehicledetail/ff434aac-722c-4959-b35e-f5c2d7d7de33/
183,Ferrari,812 GTS Base,2023,255,689900,https://www.cars.com/vehicledetail/c9df3765-9abe-4744-8f89-91df35c7c376/
184,Ferrari,SF90 Stradale Base,2022,499,689900,https://www.cars.com/vehicledetail/eb0b2aac-bcee-44e2-8408-06020849275d/
185,Ferrari,SF90 Stradale Base,2022,251,689000,https://www.cars.com/vehicledetail/d9d7a999-4166-4209-8a3d-34b9bc40ccb5/
186,Ferrari,488 Pista Spider Base,2020,4899,685998,https://www.cars.com/vehicledetail/05a1384e-56c7-42ca-97ee-c3d3d50e3167/
187,Ferrari,812 GTS Grigio,2021,793,685000,https://www.cars.com/vehicledetail/79615dea-5db9-4e22-9367-054bb2224159/
188,Rolls-Royce,Phantom EWB,2022,2617,684075,https://www.cars.com/vehicledetail/79ce2e8a-ff69-44fe-af17-c00a23ae08ce/
189,Ferrari,SF90 Stradale in Rosso Corsa,2022,96,683900,https://www.cars.com/vehicledetail/a94906a1-d580-4e1c-b7c8-30d524ec949b/
190,Lamborghini,Aventador SVJ Base,2019,1452,679999,https://www.cars.com/vehicledetail/ab43fd28-0374-465a-a8ca-87ef71f0e4c9/
191,Ferrari,812 GTS Base,2022,759,679995,https://www.cars.com/vehicledetail/8e857c28-2d71-4e70-a272-088c6819b330/
192,Ferrari,SF90 Stradale Base,2021,3875,679900,https://www.cars.com/vehicledetail/0e3229b2-ae80-485d-a734-b3dacb10c47a/
193,Ferrari,SF90 Stradale Base,2022,1454,679900,https://www.cars.com/vehicledetail/25b6f0ca-c0d1-4514-8e4d-5ab8f7442180/
194,Ferrari,SF90 Stradale Base,2022,219,679800,https://www.cars.com/vehicledetail/ed74e77b-d88b-4196-8683-066d183c8005/
195,Rolls-Royce,Phantom,2023,740,679275,https://www.cars.com/vehicledetail/31992495-4094-47de-afe2-abcb5233a696/
196,McLaren,765LT Base,2022,121,678405,https://www.cars.com/vehicledetail/b75f5e89-54d5-4cc3-8586-d2fe22a76f88/
197,Porsche,911 GT2 RS,2011,4378,675990,https://www.cars.com/vehicledetail/f03fa50a-43cb-4d5f-b95b-b8c85ddeebd4/
198,Ferrari,SF90 Stradale Base,2021,1066,674999,https://www.cars.com/vehicledetail/a931b3eb-7093-487b-85ab-ba4bdd38f63f/
199,Lamborghini,Aventador SVJ LP 780-4 Ultimae,2022,246,674989,https://www.cars.com/vehicledetail/7e30449b-2279-496d-88a9-5835d62661c6/
200,Ferrari,SF90 Stradale Base,2021,1891,674900,https://www.cars.com/vehicledetail/c9dcf0d1-a901-4b7c-93c4-aa926913fb6e/
201,Ferrari,SF90 Stradale Base,2022,227,674900,https://www.cars.com/vehicledetail/7aa940d7-cc70-42db-8f89-143c58972c64/
202,Porsche,911 GT2 RS,2011,8850,669995,https://www.cars.com/vehicledetail/09b1ea50-09b2-46dc-befd-0a526a8d364e/
203,Ferrari,812 GTS Base,2022,1530,669995,https://www.cars.com/vehicledetail/eeb6ecfa-8b2b-4ec7-ba8a-010c7159cde9/
204,Ferrari,SF90 Stradale Coupe,2022,888,669980,https://www.cars.com/vehicledetail/158fdc00-4ad5-477f-b494-f642d6583639/
205,Ferrari,812 GTS Base,2022,1312,669900,https://www.cars.com/vehicledetail/040db17c-a006-4c1a-976f-cefa8dfc9c3c/
206,McLaren,765LT Base,2022,74,669900,https://www.cars.com/vehicledetail/87cfa14b-732c-4eff-917f-83c524a5a94d/
207,McLaren,765LT Base,2022,394,669900,https://www.cars.com/vehicledetail/8ef18334-5a65-43d3-9369-7e504419ca5b/
208,Ferrari,SF90 Stradale Base,2022,967,669418,https://www.cars.com/vehicledetail/fc2e11ea-a842-4f3a-8527-a429aaf05e4b/
209,Ferrari,SF90 Stradale,2021,1076,669000,https://www.cars.com/vehicledetail/ebd7326d-152c-4d6c-90f9-96b9fcd8f06b/
210,Ferrari,SF90 Stradale,2022,800,665500,https://www.cars.com/vehicledetail/90ce9355-d016-4278-8fa4-07fbe6a3729f/
211,Ferrari,SF90 Stradale Coupe,2022,99,664900,https://www.cars.com/vehicledetail/73b7640d-00ae-488c-b639-f8ce0b4097ad/
212,Lamborghini,Aventador SVJ LP 770-4,2019,9499,660000,https://www.cars.com/vehicledetail/219991c2-1443-48b2-a632-c1d7eb7dce66/
213,Chevrolet,Corvette L88,1969,14617,660000,https://www.cars.com/vehicledetail/a9f60ccd-667f-4a22-960a-3f69cb30354f/
214,Ferrari,SF90 Stradale Base,2021,1434,659995,https://www.cars.com/vehicledetail/9c56a8e9-feef-4c4a-a107-60265b4d286f/
